power_state;health_status;managing_status;is_config_changed;name;url;mac_address;bmc_model;last_inventory_at;firmwares
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.115;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.114;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.124;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:47Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.121;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.116;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;true;2U1N282BB9600055;172.168.55.109;28:2B:B9:60:00:55;Centrum 2U1N;2024-10-31T10:40:46Z;[{BIOS  EGTSB.01A.26} {BIOSFlash2  EGTSB.01A.34} {BMCImage1  2.06.9} {BMCImage2  2.06.9} {CPLD  0x11} {CPLD BP BP4 Info 0xB} {CPLD BP BP1 Info 0xB} {CPLD BP BP2 Info 0xB} {CPLD BP BP3 Info 0xB}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.128;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:47Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.127;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.126;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:47Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.105;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.129;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.110;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:47Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.117;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:47Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.118;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.130;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:46Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.120;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:48Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.119;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:48Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.113;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:48Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.111;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:48Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.125;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:48Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
Unknown;Unknown;Unknown;false;2U2N282BB96000A1;172.168.55.122;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T06:40:27Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
On;OK;Manageable;false;2U2N282BB96000A1;172.168.55.112;28:2B:B9:60:00:A1;Centrum 2U2N;2024-10-31T10:40:48Z;[{BIOS  EGTSA.01A.35} {BIOSFlash2  EGTSA.01A.35} {BMCImage1  2.08.9} {BMCImage2  2.08.9} {CPLD  0x16} {CPLD BP BP Info 0x7}]
